canonical_index,abbr,book,start_year,end_year,sort_year,start_label,end_label,sort_label,confidence,note
29,Joel,Joel,-400,-200,-300,400 BCE,200 BCE,300 BCE,low,Usually dated to late Persian or Hellenistic period.
30,Amos,Amos,-760,-730,-745,760 BCE,730 BCE,745 BCE,medium,Core prophetic tradition in the first half of the 8th century BCE.
31,Obad,Obadiah,-600,-550,-575,600 BCE,550 BCE,575 BCE,medium,Often linked to the aftermath of Jerusalem's fall.
32,Jonah,Jonah,-500,-200,-350,500 BCE,200 BCE,350 BCE,low,Usually dated to Persian or Hellenistic period.
33,Mic,Micah,-750,-700,-725,750 BCE,700 BCE,725 BCE,medium,Often placed in the late 8th century BCE.
34,Nah,Nahum,-650,-612,-631,650 BCE,612 BCE,631 BCE,medium,Likely before Nineveh's destruction in 612 BCE.
35,Hab,Habakkuk,-620,-600,-610,620 BCE,600 BCE,610 BCE,medium,Often placed shortly before the Battle of Carchemish.
36,Zeph,Zephaniah,-640,-609,-624,640 BCE,609 BCE,624 BCE,medium,Usually linked to the reign of Josiah.
37,Hag,Haggai,-520,-515,-517,520 BCE,515 BCE,517 BCE,high,Self-dated to early Persian period under Darius I.
38,Zech,Zechariah,-520,-300,-410,520 BCE,300 BCE,410 BCE,medium,Early chapters Persian; later chapters often dated later.
39,Mal,Malachi,-500,-430,-465,500 BCE,430 BCE,465 BCE,medium,Usually placed in the 5th century BCE.
40,Matt,Matthew,80,90,85,80 CE,90 CE,85 CE,high,Commonly dated after Mark and after the destruction of the Temple.
41,Mark,Mark,65,73,69,65 CE,73 CE,69 CE,high,Commonly dated around the First Jewish-Roman War period.
42,Luke,Luke,80,90,85,80 CE,90 CE,85 CE,high,Usually dated a generation after Jesus tradition and after Mark.
43,John,John,90,100,95,90 CE,100 CE,95 CE,high,Commonly placed at the end of the 1st century CE.
44,Acts,Acts,80,90,85,80 CE,90 CE,85 CE,medium,"Often aligned with Luke's dating, with ongoing debate."
45,Rom,Romans,57,58,58,57 CE,58 CE,58 CE,high,Undisputed Pauline letter.
46,1Cor,1 Corinthians,53,57,55,53 CE,57 CE,55 CE,high,Undisputed Pauline letter.
47,2Cor,2 Corinthians,55,58,57,55 CE,58 CE,57 CE,high,Undisputed Pauline letter.
48,Gal,Galatians,48,55,52,48 CE,55 CE,52 CE,high,Undisputed Pauline letter; date depends on North/South Galatia model.
49,Eph,Ephesians,80,90,85,80 CE,90 CE,85 CE,medium,Often considered deutero-Pauline and dated after Paul.
50,Phil,Philippians,54,55,55,54 CE,55 CE,55 CE,high,"Undisputed Pauline letter, often linked to imprisonment."
51,Col,Colossians,62,90,76,62 CE,90 CE,76 CE,medium,Range reflects disputed Pauline authorship.
52,1Thess,1 Thessalonians,51,51,51,51 CE,51 CE,51 CE,high,Among the earliest undisputed Pauline letters.
53,2Thess,2 Thessalonians,51,90,71,51 CE,90 CE,71 CE,low,Range reflects dispute between Pauline and later authorship.
54,1Tim,1 Timothy,100,100,100,100 CE,100 CE,100 CE,medium,Pastoral epistle usually dated to early 2nd century CE.
55,2Tim,2 Timothy,100,100,100,100 CE,100 CE,100 CE,medium,Pastoral epistle usually dated to early 2nd century CE.
56,Titus,Titus,100,100,100,100 CE,100 CE,100 CE,medium,Pastoral epistle usually dated to early 2nd century CE.
57,Phlm,Philemon,54,55,55,54 CE,55 CE,55 CE,high,Undisputed Pauline letter.
58,Heb,Hebrews,80,90,85,80 CE,90 CE,85 CE,medium,Generally non-Pauline; often dated late 1st century CE.
59,Jas,James,65,85,75,65 CE,85 CE,75 CE,medium,Broad late 1st century range in critical scholarship.
60,1Pet,1 Peter,75,90,83,75 CE,90 CE,83 CE,medium,Often dated in the late 1st century CE.
61,2Pet,2 Peter,110,110,110,110 CE,110 CE,110 CE,high,Commonly considered the latest New Testament writing.
62,1John,1 John,90,110,100,90 CE,110 CE,100 CE,medium,Usually dated around the turn of the 2nd century CE.
63,2John,2 John,90,110,100,90 CE,110 CE,100 CE,medium,Usually dated around the turn of the 2nd century CE.
64,3John,3 John,90,110,100,90 CE,110 CE,100 CE,medium,Usually dated around the turn of the 2nd century CE.
65,Jude,Jude,65,100,83,65 CE,100 CE,83 CE,low,Date uncertain; generally before 2 Peter.
66,Rev,Revelation,95,95,95,95 CE,95 CE,95 CE,high,Commonly associated with Domitian's reign.
