canonical_index,abbr,book,start_year,end_year,sort_year,start_label,end_label,sort_label,confidence,note
53,2Thess,2 Thessalonians,51,71,61,51 CE,71 CE,61 CE,low,"Earliest recoverable layer estimate (coarse, profile-level)."
54,1Tim,1 Timothy,100,100,100,100 CE,100 CE,100 CE,low,"Earliest recoverable layer estimate (coarse, profile-level)."
55,2Tim,2 Timothy,100,100,100,100 CE,100 CE,100 CE,low,"Earliest recoverable layer estimate (coarse, profile-level)."
56,Titus,Titus,100,100,100,100 CE,100 CE,100 CE,low,"Earliest recoverable layer estimate (coarse, profile-level)."
57,Phlm,Philemon,54,55,55,54 CE,55 CE,55 CE,low,"Earliest recoverable layer estimate (coarse, profile-level)."
58,Heb,Hebrews,60,80,70,60 CE,80 CE,70 CE,low,Earliest sermonic/epistolary layer estimate.
59,Jas,James,40,70,55,40 CE,70 CE,55 CE,low,Earliest paraenetic tradition layer estimate.
60,1Pet,1 Peter,75,90,83,75 CE,90 CE,83 CE,low,"Earliest recoverable layer estimate (coarse, profile-level)."
61,2Pet,2 Peter,110,110,110,110 CE,110 CE,110 CE,low,"Earliest recoverable layer estimate (coarse, profile-level)."
62,1John,1 John,90,110,100,90 CE,110 CE,100 CE,low,"Earliest recoverable layer estimate (coarse, profile-level)."
63,2John,2 John,90,110,100,90 CE,110 CE,100 CE,low,"Earliest recoverable layer estimate (coarse, profile-level)."
64,3John,3 John,90,110,100,90 CE,110 CE,100 CE,low,"Earliest recoverable layer estimate (coarse, profile-level)."
65,Jude,Jude,65,85,75,65 CE,85 CE,75 CE,low,"Earliest recoverable layer estimate (coarse, profile-level)."
66,Rev,Revelation,68,95,82,68 CE,95 CE,82 CE,low,Earliest apocalyptic layer estimate before final publication.
